"landed_year","dealer_state","dealer_city","total_live_lbs","total_value","total_adjusted_val","perc_change_Val","perc_change_lbs"
2006,"FL","COCOA BEACH",13723,16514,20831,70.73,65.84
2007,"FL","COCOA BEACH",706,887,1089,-94.77,-94.86
2000,"LA","COCODRIE",84336,33504,48859,0,0
2001,"LA","COCODRIE",115548,107049,152670,212.47,37.01
2002,"LA","COCODRIE",115936,115853,162691,6.56,0.34
2003,"LA","COCODRIE",115496,124711,171741,5.56,-0.38
2004,"LA","COCODRIE",66711,72969,97859,-43.02,-42.24
2005,"LA","COCODRIE",54632,66584,86581,-11.52,-18.11
2006,"LA","COCODRIE",60598,67768,85483,-1.27,10.92
2007,"LA","COCODRIE",50524,74899,91992,7.61,-16.62
2008,"LA","COCODRIE",8204,10518,12675,-86.22,-83.76
2009,"LA","COCODRIE",5390,6917,8283,-34.65,-34.3
2010,"LA","COCODRIE",39991,100009,118331,1328.6,641.95
2011,"LA","COCODRIE",415549,940532,1090191,821.31,939.11
2012,"LA","COCODRIE",532684,1179853,1342484,23.14,28.19
2013,"LA","COCODRIE",326534,750288,839017,-37.5,-38.7
2014,"LA","COCODRIE",326275.63,1091680,1198369,42.83,-0.08
2015,"LA","COCODRIE",283631.86,1013312.5,1101324,-8.1,-13.07
2016,"LA","COCODRIE",182706.33,624871,672407,-38.95,-35.58
2017,"LA","COCODRIE",191648,683607,721896,7.36,4.89
2018,"LA","COCODRIE",5292,19932,20554,-97.15,-97.24
1977,"AL","CODEN",4334387,5307025,18065415,0,0
1980,"AL","CODEN",4927825,9170456,24699408,36.72,13.69
1981,"AL","CODEN",14224,18103,44544,-99.82,-99.71
1982,"AL","CODEN",82569,124983,289634,550.22,480.49
1983,"AL","CODEN",181577,275970,615428,112.48,119.91
1984,"AL","CODEN",239206,344905,742370,20.63,31.74
1985,"AL","CODEN",357976,317869,663203,-10.66,49.65
1986,"AL","CODEN",238511,393143,804066,21.24,-33.37
1987,"AL","CODEN",143140,234605,468239,-41.77,-39.99
1988,"AL","CODEN",176257,291152,561299,19.87,23.14
1989,"AL","CODEN",37397,40419,74983,-86.64,-78.78
1990,"AL","CODEN",361571,636197,1137639,1417.2,866.84
1991,"AL","CODEN",412536,626127,1083004,-4.8,14.1
1992,"AL","CODEN",375797,618318,1045668,-3.45,-8.91
1993,"AL","CODEN",503218,763777,1261752,20.66,33.91
1994,"AL","CODEN",522264,1184323,1915604,51.82,3.78
1995,"AL","CODEN",581363,944291,1495973,-21.91,11.32
1996,"AL","CODEN",619621,826081,1285170,-14.09,6.58
1997,"AL","CODEN",339260,710001,1085859,-15.51,-45.25
1998,"AL","CODEN",1703116,3070220,4643281,327.61,402.01
1999,"AL","CODEN",571023,952676,1420773,-69.4,-66.47
2000,"AL","CODEN",1788271,4248407,6195460,336.06,213.17
2001,"AL","CODEN",422411,670015,955553,-84.58,-76.38
2002,"AL","CODEN",2133694,2695441,3785181,296.12,405.12
2003,"AL","CODEN",2807406,2930181,4035192,6.6,31.57
2004,"AL","CODEN",2169333,2243933,3009369,-25.42,-22.73
2005,"AL","CODEN",1321111,2354563,3061709,1.74,-39.1
2006,"AL","CODEN",2211161,3621116,4567702,49.19,67.37
2007,"AL","CODEN",1858962,3556380,4367988,-4.37,-15.93
2008,"AL","CODEN",1331770,2234953,2693334,-38.34,-28.36
2009,"AL","CODEN",1458406,2027841,2428184,-9.84,9.51
2010,"AL","CODEN",1290833,2490690,2946997,21.37,-11.49
2011,"AL","CODEN",2112743,3606990,4180942,41.87,63.67
2012,"AL","CODEN",1799613,3127317,3558389,-14.89,-14.82
2013,"AL","CODEN",1297343,3172607,3547795,-0.3,-27.91
2014,"AL","CODEN",1620948,4099023.91,4499617,26.83,24.94
2015,"AL","CODEN",1981974,3896853.87,4235317,-5.87,22.27
2016,"AL","CODEN",1891605,3468452.03,3732310,-11.88,-4.56
2017,"AL","CODEN",2155003,4255501,4493847,20.4,13.92
2018,"AL","CODEN",2065936,4351239,4487094,-0.15,-4.13
2018,"MS","CODEN",459,459,473,-99.99,-99.98
2019,"AL","CODEN",2098980,4144180,4198272,887483.93,457194.12
2020,"AL","CODEN",1930599,4501603,4501603,7.23,-8.02
2003,"LA","CONVENT",3968,6694,9218,0,0
2004,"LA","CONVENT",1512,2996,4018,-56.41,-61.9
2009,"LA","CONVENT",1280,2996,3587,-10.73,-15.34
2011,"LA","CONVENT",1224,2644,3065,-14.55,-4.38
2012,"LA","CONVENT",2866,7223,8219,168.16,134.15
2015,"FL","COPELAND",9192.2,17796.4,19342,0,0
2016,"FL","COPELAND",30601.5,61275,65936,240.9,232.91
2017,"FL","COPELAND",15664,31327,33082,-49.83,-48.81
2018,"FL","COPELAND",38314,75389,77743,135,144.6
2019,"FL","COPELAND",10318,20665,20935,-73.07,-73.07
2020,"FL","COPELAND",7689,15309,15309,-26.87,-25.48
1995,"FL","CORAL SPRINGS",703,784,1243,0,0
1980,"TX","CORPUS CHRISTI",8410,19454,52396,0,0
1984,"TX","CORPUS CHRISTI",933189,874429,1882113,3492.09,10996.18
1985,"TX","CORPUS CHRISTI",261305,189181,394707,-79.03,-72
1986,"TX","CORPUS CHRISTI",166726,193480,395711,0.25,-36.19
1987,"TX","CORPUS CHRISTI",389976,587644,1172854,196.39,133.9
1988,"TX","CORPUS CHRISTI",371380,399406,769998,-34.35,-4.77
1989,"TX","CORPUS CHRISTI",80504,84820,157352,-79.56,-78.32
1990,"TX","CORPUS CHRISTI",105004,90516,161860,2.86,30.43
1991,"TX","CORPUS CHRISTI",165242,204214,353226,118.23,57.37
1992,"TX","CORPUS CHRISTI",467446,691234,1168981,230.94,182.89
1993,"TX","CORPUS CHRISTI",229508,276366,456554,-60.94,-50.9
1994,"TX","CORPUS CHRISTI",383825,607766,983043,115.32,67.24
1995,"TX","CORPUS CHRISTI",251625,309205,489851,-50.17,-34.44
1996,"TX","CORPUS CHRISTI",99313,81511,126809,-74.11,-60.53
1997,"TX","CORPUS CHRISTI",50846,83569,127808,0.79,-48.8
1998,"TX","CORPUS CHRISTI",76299,80558,121833,-4.67,50.06
2002,"TX","CORPUS CHRISTI",27348,53975,75795,-37.79,-64.16
2003,"TX","CORPUS CHRISTI",24777,40814,56205,-25.85,-9.4
2004,"TX","CORPUS CHRISTI",25812,56055,75177,33.76,4.18
2005,"TX","CORPUS CHRISTI",32257,52828,68694,-8.62,24.97
2008,"TX","CORPUS CHRISTI",3675,3452,4160,-93.94,-88.61
2009,"TX","CORPUS CHRISTI",1522,1416,1696,-59.23,-58.59
2010,"TX","CORPUS CHRISTI",4231,6191,7324,331.84,177.99
2011,"TX","CORPUS CHRISTI",3953,8811,10213,39.45,-6.57
2012,"TX","CORPUS CHRISTI",3196,4701,5349,-47.63,-19.15
2013,"TX","CORPUS CHRISTI",3754,13587,15195,184.07,17.46
2014,"TX","CORPUS CHRISTI",61029.26,259592.08,284962,1775.37,1525.71
2015,"TX","CORPUS CHRISTI",6316.09,12281.93,13348,-95.32,-89.65
2016,"TX","CORPUS CHRISTI",8707.5,16829.8,18111,35.68,37.86
2017,"TX","CORPUS CHRISTI",9505,27061,28576,57.78,9.16
2018,"TX","CORPUS CHRISTI",18055,83823,86441,202.5,89.95
2019,"TX","CORPUS CHRISTI",92016,325130,329374,281.04,409.64
2020,"TX","CORPUS CHRISTI",77051,342881,342881,4.1,-16.26
1977,"FL","CORTEZ",53249,69496,236568,0,0
1978,"FL","CORTEZ",103224,167349,532218,124.97,93.85
1979,"FL","CORTEZ",227722,395048,1160122,117.98,120.61
1980,"FL","CORTEZ",115399,219503,591202,-49.04,-49.32
1981,"FL","CORTEZ",119545,265956,654403,10.69,3.59
1982,"FL","CORTEZ",109043,302433,700856,7.1,-8.78
1983,"FL","CORTEZ",115655,375869,838208,19.6,6.06
1984,"FL","CORTEZ",127195,342851,737949,-11.96,9.98
1985,"FL","CORTEZ",110034,292471,610212,-17.31,-13.49
1986,"FL","CORTEZ",92072,298087,609655,-0.09,-16.32
1987,"FL","CORTEZ",68007,213422,425961,-30.13,-26.14
1988,"FL","CORTEZ",1125316,1632481,3147190,638.84,1554.71
1989,"FL","CORTEZ",1363917,1798719,3336845,6.03,21.2
1990,"FL","CORTEZ",933607,1551061,2773585,-16.88,-31.55
1991,"FL","CORTEZ",1037029,1639356,2835571,2.23,11.08
1992,"FL","CORTEZ",634341,1127669,1907057,-32.75,-38.83
1993,"FL","CORTEZ",1153138,2003112,3309116,73.52,81.79
1994,"FL","CORTEZ",498116,950327,1537124,-53.55,-56.8
1995,"FL","CORTEZ",529779,1034686,1639178,6.64,6.36
1996,"FL","CORTEZ",607366,1318780,2051684,25.17,14.65
1997,"FL","CORTEZ",420850,838583,1282508,-37.49,-30.71
1998,"FL","CORTEZ",441764,988720,1495303,16.59,4.97
1999,"FL","CORTEZ",459523,927863,1383767,-7.46,4.02
2000,"FL","CORTEZ",444711,1161066,1693183,22.36,-3.22
2001,"FL","CORTEZ",579916,1218493,1737777,2.63,30.4
2002,"FL","CORTEZ",867206,1835671,2577815,48.34,49.54
2003,"FL","CORTEZ",596304,1341843,1847871,-28.32,-31.24
2004,"FL","CORTEZ",669992,1729739,2319774,25.54,12.36
2005,"FL","CORTEZ",558673,1326480,1724861,-25.65,-16.61
2006,"FL","CORTEZ",707001,1879263,2370516,37.43,26.55
2007,"FL","CORTEZ",602288,1677857,2060766,-13.07,-14.81
2008,"FL","CORTEZ",637569,1595166,1922329,-6.72,5.86
2009,"FL","CORTEZ",486899,1283985,1537473,-20.02,-23.63
2010,"FL","CORTEZ",661426,1940943,2296532,49.37,35.84
2011,"FL","CORTEZ",944002,2576377,2986336,30.04,42.72
2012,"FL","CORTEZ",945746,2625008,2986838,0.02,0.18
2013,"FL","CORTEZ",517412,1632402,1825449,-38.88,-45.29
2014,"FL","CORTEZ",711167.66,2299873.46,2524638,38.3,37.45
2015,"FL","CORTEZ",700106.42,2708438.78,2943684,16.6,-1.56
2016,"FL","CORTEZ",753467.19,2830303,3045611,3.46,7.62
2017,"FL","CORTEZ",580109,2234827,2359998,-22.51,-23.01
2018,"FL","CORTEZ",421111,2010068,2072829,-12.17,-27.41
2019,"FL","CORTEZ",533520,2606521,2640541,27.39,26.69
2020,"FL","CORTEZ",570112,2693749,2693749,2.02,6.86
1990,"FL","COTTONDALE",247,181,324,0,0
1991,"FL","COTTONDALE",146,131,227,-29.94,-40.89
1992,"FL","COTTONDALE",19,15,25,-88.99,-86.99
1993,"FL","COTTONDALE",33,30,50,100,73.68
1996,"FL","COTTONDALE",64,107,166,232,93.94
1999,"FL","COTTONDALE",140,140,209,25.9,118.75
2000,"FL","COTTONDALE",1972,2061,3006,1338.28,1308.57
2001,"FL","COTTONDALE",271,271,386,-87.16,-86.26
2002,"FL","COTTONDALE",1894,3017,4237,997.67,598.89
2005,"FL","COTTONDALE",704,704,915,-78.4,-62.83
2006,"FL","COTTONDALE",4790,7777,9810,972.13,580.4
2007,"FL","COTTONDALE",83,166,204,-97.92,-98.27
2008,"FL","COTTONDALE",6242,8622,10390,4993.14,7420.48
2009,"FL","COTTONDALE",3906,5585,6688,-35.63,-37.42
1999,"LA","COVINGTON",3078,3537,5275,0,0
2000,"LA","COVINGTON",20291,27865,40635,670.33,559.23
2001,"LA","COVINGTON",35161,50904,72597,78.66,73.28
2002,"LA","COVINGTON",42996,65532,92026,26.76,22.28
2003,"LA","COVINGTON",52162,77645,106926,16.19,21.32
2004,"LA","COVINGTON",29352,46370,62187,-41.84,-43.73
2005,"LA","COVINGTON",924,1423,1850,-97.03,-96.85
2006,"LA","COVINGTON",23778,26131,32962,1681.73,2473.38
2007,"LA","COVINGTON",9513,11646,14304,-56.6,-59.99
2008,"LA","COVINGTON",8702,12770,15389,7.59,-8.53
2009,"LA","COVINGTON",12892,17497,20950,36.14,48.15
2010,"LA","COVINGTON",9165,9198,10883,-48.05,-28.91
2011,"LA","COVINGTON",3073,5428,6291,-42.19,-66.47
2012,"LA","COVINGTON",145,465,530,-91.58,-95.28
2014,"LA","COVINGTON",590,560,615,16.04,306.9
2015,"LA","COVINGTON",6718,18276.77,19864,3129.92,1038.64
2016,"LA","COVINGTON",8372.18,38508,41437,108.6,24.62
2017,"LA","COVINGTON",300,700,739,-98.22,-96.42
2018,"LA","COVINGTON",600,2400,2475,234.91,100
2020,"LA","COVINGTON",117235,899502,899502,36243.52,19439.17
1978,"FL","CRAWFORDVILLE",835576,169967,540542,0,0
1979,"FL","CRAWFORDVILLE",428300,90003,264308,-51.1,-48.74
1986,"FL","CRAWFORDVILLE",4960,496,1014,-99.62,-98.84
1987,"FL","CRAWFORDVILLE",1111,1354,2702,166.47,-77.6
1988,"FL","CRAWFORDVILLE",82080,192232,370595,13615.58,7287.94
1989,"FL","CRAWFORDVILLE",116089,185522,344165,-7.13,41.43
1990,"FL","CRAWFORDVILLE",85791,219861,393153,14.23,-26.1
1991,"FL","CRAWFORDVILLE",67593,129774,224467,-42.91,-21.21
1992,"FL","CRAWFORDVILLE",472909,502170,849246,278.34,599.64
1993,"FL","CRAWFORDVILLE",384884,215980,356798,-57.99,-18.61
1994,"FL","CRAWFORDVILLE",267384,196917,318509,-10.73,-30.53
1995,"FL","CRAWFORDVILLE",352553,270170,428012,34.38,31.85
1996,"FL","CRAWFORDVILLE",333854,269699,419582,-1.97,-5.3
1997,"FL","CRAWFORDVILLE",514243,392975,601007,43.24,54.03
1998,"FL","CRAWFORDVILLE",754944,449526,679844,13.12,46.81
1999,"FL","CRAWFORDVILLE",428762,306499,457097,-32.76,-43.21
2000,"FL","CRAWFORDVILLE",125988,145876,212729,-53.46,-70.62
2001,"FL","CRAWFORDVILLE",124441,154834,220820,3.8,-1.23
2002,"FL","CRAWFORDVILLE",105428,149543,210002,-4.9,-15.28
2003,"FL","CRAWFORDVILLE",116237,128504,176966,-15.73,10.25
2004,"FL","CRAWFORDVILLE",84210,125160,167856,-5.15,-27.55
2005,"FL","CRAWFORDVILLE",208554,177660,231016,37.63,147.66
2006,"FL","CRAWFORDVILLE",293468,245643,309857,34.13,40.72
2007,"FL","CRAWFORDVILLE",160925,131948,162060,-47.7,-45.16
2008,"FL","CRAWFORDVILLE",58071,97102,117016,-27.79,-63.91
2009,"FL","CRAWFORDVILLE",293311,319754,382881,227.2,405.09
2010,"FL","CRAWFORDVILLE",242525,370249,438082,14.42,-17.31
2011,"FL","CRAWFORDVILLE",329306,351454,407378,-7.01,35.78
2012,"FL","CRAWFORDVILLE",118862,200901,228594,-43.89,-63.91
2013,"FL","CRAWFORDVILLE",126541,240989,269488,17.89,6.46
2014,"FL","CRAWFORDVILLE",142500.84,312810.19,343381,27.42,12.61
2015,"FL","CRAWFORDVILLE",171055.07,407958.81,443393,29.13,20.04
2016,"FL","CRAWFORDVILLE",129097.33,325351.15,350103,-21.04,-24.53
2017,"FL","CRAWFORDVILLE",128118,316268,333981,-4.6,-0.76
2018,"FL","CRAWFORDVILLE",146024,317923,327850,-1.84,13.98
2019,"FL","CRAWFORDVILLE",241679,388390,393460,20.01,65.51
2020,"FL","CRAWFORDVILLE",195542,375376,375376,-4.6,-19.09
1999,"LA","CREOLE",369,166,248,0,0
2000,"LA","CREOLE",8426,5214,7603,2965.73,2183.47
2001,"LA","CREOLE",9199,6348,9053,19.07,9.17
2002,"LA","CREOLE",9961,7321,10281,13.56,8.28
2003,"LA","CREOLE",90006,52838,72764,607.75,803.58
2004,"LA","CREOLE",295290,142180,190679,162.05,228.08
2005,"LA","CREOLE",139791,82469,107238,-43.76,-52.66
2006,"LA","CREOLE",249977,179629,226586,111.29,78.82
2007,"LA","CREOLE",1402262,1075136,1320495,482.78,460.96
2008,"LA","CREOLE",1019132,978871,1179634,-10.67,-27.32
2009,"LA","CREOLE",14614,17453,20899,-98.23,-98.57
2010,"LA","CREOLE",10028,13334,15778,-24.5,-31.38
2011,"LA","CREOLE",2896,4259,4937,-68.71,-71.12
2012,"LA","CREOLE",7325,9601,10924,121.27,152.94
2013,"LA","CREOLE",1601,1838,2055,-81.19,-78.14
2014,"LA","CREOLE",2106,2782.25,3054,48.61,31.54
2015,"LA","CREOLE",1557,1537.1,1671,-45.28,-26.07
2016,"LA","CREOLE",1940,1940,2088,24.96,24.6
2017,"LA","CREOLE",1823,1823,1925,-7.81,-6.03
2018,"LA","CREOLE",1982,1982,2044,6.18,8.72
2019,"LA","CREOLE",450,450,456,-77.69,-77.3
2020,"LA","CREOLE",845,845,845,85.31,87.78
2003,"FL","CRESCENT CITY",3267,4549,6265,0,0
1993,"FL","CRESTVIEW",6,9,15,0,0
1978,"FL","CROSS CITY",49373,13584,43200,0,0
1979,"FL","CROSS CITY",4746,5472,16069,-62.8,-90.39
1988,"FL","CROSS CITY",632799,8162132,15735416,97824.05,13233.31
1989,"FL","CROSS CITY",577572,13576475,25186038,60.06,-8.73
1990,"FL","CROSS CITY",505103,18920239,33832888,34.33,-12.55
1991,"FL","CROSS CITY",348754,4201222,7266801,-78.52,-30.95
1992,"FL","CROSS CITY",292730,826049,1396971,-80.78,-16.06
1993,"FL","CROSS CITY",242825,186734,308481,-77.92,-17.05
1994,"FL","CROSS CITY",313227,366597,592957,92.22,28.99
1995,"FL","CROSS CITY",282423,337762,535092,-9.76,-9.83
1996,"FL","CROSS CITY",413012,485929,755982,41.28,46.24
1997,"FL","CROSS CITY",389543,583003,891631,17.94,-5.68
1998,"FL","CROSS CITY",998080,771341,1166546,30.83,156.22
1999,"FL","CROSS CITY",699569,883746,1317975,12.98,-29.91
2000,"FL","CROSS CITY",172111,486384,709295,-46.18,-75.4
2001,"FL","CROSS CITY",86536,219233,312662,-55.92,-49.72
2002,"FL","CROSS CITY",193653,598305,840195,168.72,123.78
2003,"FL","CROSS CITY",194569,621510,855891,1.87,0.47
2004,"FL","CROSS CITY",203179,644369,864172,0.97,4.43
2005,"FL","CROSS CITY",203015,407052,529300,-38.75,-0.08
2006,"FL","CROSS CITY",136517,643279,811435,53.3,-32.76
2007,"FL","CROSS CITY",262526,1319864,1621071,99.78,92.3
2008,"FL","CROSS CITY",283039,1073640,1293839,-20.19,7.81
2009,"FL","CROSS CITY",255203,878074,1051426,-18.74,-9.83
2010,"FL","CROSS CITY",226992,835930,989076,-5.93,-11.05
2011,"FL","CROSS CITY",490104,890277,1031939,4.33,115.91
2012,"FL","CROSS CITY",276812,965078,1098104,6.41,-43.52
2013,"FL","CROSS CITY",209138,836700,935647,-14.79,-24.45
2014,"FL","CROSS CITY",143924.18,662529.31,727276,-22.27,-31.18
2015,"FL","CROSS CITY",195455.27,1313112.88,1427164,96.23,35.8
2016,"FL","CROSS CITY",171754.16,1024829.13,1102792,-22.73,-12.13
2017,"FL","CROSS CITY",302461,1413417,1492583,35.35,76.1
2018,"FL","CROSS CITY",281441,1336178,1377895,-7.68,-6.95
2019,"FL","CROSS CITY",369773,2004442,2030604,47.37,31.39
2020,"FL","CROSS CITY",252400,1268655,1268655,-37.52,-31.74
1999,"LA","CROWLEY",23856,12702,18943,0,0
2000,"LA","CROWLEY",109605,76534,111610,489.19,359.44
2001,"LA","CROWLEY",131228,90743,129415,15.95,19.73
2002,"LA","CROWLEY",122203,72643,102012,-21.17,-6.88
2003,"LA","CROWLEY",69890,35567,48980,-51.99,-42.81
2004,"LA","CROWLEY",71342,43534,58385,19.2,2.08
2005,"LA","CROWLEY",11214,6074,7898,-86.47,-84.28
2006,"LA","CROWLEY",1015,1248,1575,-80.06,-90.95
2007,"LA","CROWLEY",49146,86664,106441,6658.16,4741.97
2008,"LA","CROWLEY",28947,52901,63751,-40.11,-41.1
2009,"LA","CROWLEY",45718,73914,88507,38.83,57.94
2010,"LA","CROWLEY",21476,42979,50853,-42.54,-53.03
2011,"LA","CROWLEY",31734,55914,64811,27.45,47.76
2012,"LA","CROWLEY",26480,62639,71273,9.97,-16.56
2013,"LA","CROWLEY",26455,57828,64666,-9.27,-0.09
2014,"LA","CROWLEY",39918.85,67723.5,74342,14.96,50.89
2015,"LA","CROWLEY",48471.75,84157.99,91468,23.04,21.43
2016,"LA","CROWLEY",NA,128804.72,138603,51.53,NA
2017,"LA","CROWLEY",122339,211238,223069,60.94,NA
2018,"LA","CROWLEY",NA,166467,171663,-23.04,NA
2019,"LA","CROWLEY",87493,134036,135786,-20.9,NA
2020,"LA","CROWLEY",55170,82353,82353,-39.35,-36.94
2000,"LA","CROWN POINT",3150905,4356663,6353329,0,0
2001,"LA","CROWN POINT",3696992,4896818,6983687,9.92,17.33
2002,"LA","CROWN POINT",3234645,3652622,5129340,-26.55,-12.51
2003,"LA","CROWN POINT",4162182,3747960,5161366,0.62,28.68
2004,"LA","CROWN POINT",4592787,3760070,5042677,-2.3,10.35
2005,"LA","CROWN POINT",2003820,1859402,2417835,-52.05,-56.37
2006,"LA","CROWN POINT",4891025,4368992,5511079,127.93,144.09
2007,"LA","CROWN POINT",5136768,4913062,6034281,9.49,5.02
2008,"LA","CROWN POINT",3084342,3629953,4374443,-27.51,-39.96
2009,"LA","CROWN POINT",3988332,3538679,4237298,-3.14,29.31
2010,"LA","CROWN POINT",2561090,3026394,3580841,-15.49,-35.79
2011,"LA","CROWN POINT",3262733,4068901,4716350,31.71,27.4
2012,"LA","CROWN POINT",3686901,4500311,5120633,8.57,13
2013,"LA","CROWN POINT",3859616,6603519,7384446,44.21,4.68
2017,"LA","CROWN POINT",639802,737798,779122,-89.45,-83.42
2014,"TX","CRYSTAL BEACH",208792.1,694332,762188,0,0
2015,"TX","CRYSTAL BEACH",272376,439092,477230,-37.39,30.45
2016,"TX","CRYSTAL BEACH",319971,591322,636306,33.33,17.47
2017,"TX","CRYSTAL BEACH",394164,766733,809677,27.25,23.19
2018,"TX","CRYSTAL BEACH",241502,449741,463784,-42.72,-38.73
2019,"FL","CRYSTAL BEACH",809,9901,10030,-97.84,-99.67
2019,"TX","CRYSTAL BEACH",97669,218811,221667,2110.04,11972.81
2020,"FL","CRYSTAL BEACH",2783,17762,17762,-91.99,-97.15
1977,"FL","CRYSTAL RIVER",92891,92188,313813,0,0
1978,"FL","CRYSTAL RIVER",1307198,293324,932850,197.26,1307.24
1979,"FL","CRYSTAL RIVER",1334454,524124,1539177,65,2.09
1980,"FL","CRYSTAL RIVER",256829,383626,1033246,-32.87,-80.75
1981,"FL","CRYSTAL RIVER",291378,353770,870475,-15.75,13.45
1982,"FL","CRYSTAL RIVER",288608,319278,739893,-15,-0.95
1983,"FL","CRYSTAL RIVER",603733,688691,1535818,107.57,109.19
1984,"FL","CRYSTAL RIVER",207535,181234,390086,-74.6,-65.62
1985,"FL","CRYSTAL RIVER",176717,124074,258868,-33.64,-14.85
1986,"FL","CRYSTAL RIVER",140350,239520,489872,89.24,-20.58
1987,"FL","CRYSTAL RIVER",35035,47329,94462,-80.72,-75.04
1988,"FL","CRYSTAL RIVER",1147859,1785026,3441275,3543.03,3176.32
1989,"FL","CRYSTAL RIVER",1351994,1373273,2547593,-25.97,17.78
1990,"FL","CRYSTAL RIVER",1421910,1878482,3359073,31.85,5.17
1991,"FL","CRYSTAL RIVER",1587303,1907261,3298968,-1.79,11.63
1992,"FL","CRYSTAL RIVER",2237551,2500598,4228888,28.19,40.97
1993,"FL","CRYSTAL RIVER",1739399,2372448,3919257,-7.32,-22.26
1994,"FL","CRYSTAL RIVER",1581695,2190545,3543138,-9.6,-9.07
1995,"FL","CRYSTAL RIVER",1504124,2174306,3444595,-2.78,-4.9
1996,"FL","CRYSTAL RIVER",2364595,2988035,4648620,34.95,57.21
1997,"FL","CRYSTAL RIVER",2056481,2869877,4389121,-5.58,-13.03
1998,"FL","CRYSTAL RIVER",2537210,3188310,4821875,9.86,23.38
1999,"FL","CRYSTAL RIVER",1541601,2635481,3930425,-18.49,-39.24
2000,"FL","CRYSTAL RIVER",1304925,2961926,4319384,9.9,-15.35
2001,"FL","CRYSTAL RIVER",1509092,3125465,4457437,3.2,15.65
2002,"FL","CRYSTAL RIVER",1684680,3898793,5475033,22.83,11.64
2003,"FL","CRYSTAL RIVER",1473822,3483820,4797614,-12.37,-12.52
2004,"FL","CRYSTAL RIVER",1252316,3074806,4123660,-14.05,-15.03
2005,"FL","CRYSTAL RIVER",1143741,3186826,4143922,0.49,-8.67
2006,"FL","CRYSTAL RIVER",1203865,3653056,4607993,11.2,5.26
2007,"FL","CRYSTAL RIVER",1027569,3240166,3979610,-13.64,-14.64
2008,"FL","CRYSTAL RIVER",685164,2131034,2568098,-35.47,-33.32
2009,"FL","CRYSTAL RIVER",787832,2144704,2568116,0,14.98
2010,"FL","CRYSTAL RIVER",773990,2104647,2490227,-3.03,-1.76
2011,"FL","CRYSTAL RIVER",910838,2381264,2760171,10.84,17.68
2012,"FL","CRYSTAL RIVER",755969,2222450,2528794,-8.38,-17
2013,"FL","CRYSTAL RIVER",661716,2199207,2459285,-2.75,-12.47
2014,"FL","CRYSTAL RIVER",653637.32,2416367.95,2652517,7.86,-1.22
2015,"FL","CRYSTAL RIVER",582709.06,2284540.61,2482966,-6.39,-10.85
2016,"FL","CRYSTAL RIVER",469944.64,1789290.5,1925411,-22.46,-19.35
2017,"FL","CRYSTAL RIVER",596884,2279967,2407671,25.05,27.01
2018,"FL","CRYSTAL RIVER",655184,2842163,2930902,21.73,9.77
2019,"FL","CRYSTAL RIVER",733346,3669175,3717065,26.82,11.93
2020,"FL","CRYSTAL RIVER",484601,2691999,2691999,-27.58,-33.92
1994,"FL","CUDJOE KEY",746,1882,3044,0,0
1995,"FL","CUDJOE KEY",2860,11415,18084,494.09,283.38
1996,"FL","CUDJOE KEY",2578,6054,9418,-47.92,-9.86
1997,"FL","CUDJOE KEY",34838,141630,216604,2199.89,1251.36
1998,"FL","CUDJOE KEY",67973,250023,378125,74.57,95.11
1999,"FL","CUDJOE KEY",83808,309434,461474,22.04,23.3
2000,"FL","CUDJOE KEY",172674,740184,1079412,133.91,106.04
2001,"FL","CUDJOE KEY",211506,579704,826757,-23.41,22.49
2002,"FL","CUDJOE KEY",17020,53352,74921,-90.94,-91.95
2015,"FL","CUDJOE KEY",68577.79,379986.58,412990,451.23,302.92
2016,"FL","CUDJOE KEY",43939.66,243447.35,261966,-36.57,-35.93
2017,"FL","CUDJOE KEY",52652,348896,368438,40.64,19.83
2018,"FL","CUDJOE KEY",64940,404013,416628,13.08,23.34
2019,"FL","CUDJOE KEY",43733,283228,286925,-31.13,-32.66
2020,"FL","CUDJOE KEY",21612,120880,120880,-57.87,-50.58
1977,"LA","CUT OFF",2782696,1899335,6465445,0,0
1978,"LA","CUT OFF",2919263,1865182,5931799,-8.25,4.91
1979,"LA","CUT OFF",6006282,5923476,17395262,193.25,105.75
1980,"LA","CUT OFF",2129321,1691052,4554625,-73.82,-64.55
1981,"LA","CUT OFF",2174153,1571893,3867749,-15.08,2.11
1982,"LA","CUT OFF",1552243,1852503,4292977,10.99,-28.6
1983,"LA","CUT OFF",1087289,1449230,3231860,-24.72,-29.95
1984,"LA","CUT OFF",2053303,2239813,4820954,49.17,88.85
1985,"LA","CUT OFF",1792921,1458546,3043113,-36.88,-12.68
1986,"LA","CUT OFF",2181217,2062835,4218960,38.64,21.66
1987,"LA","CUT OFF",1987183,2578157,5145641,21.96,-8.9
1988,"LA","CUT OFF",1828601,1974050,3805684,-26.04,-7.98
1989,"LA","CUT OFF",1576362,1482959,2751073,-27.71,-13.79
1990,"LA","CUT OFF",2237900,2333563,4172842,51.68,41.97
1991,"LA","CUT OFF",1223402,1351154,2337074,-43.99,-45.33
1992,"LA","CUT OFF",1219108,1561168,2640170,12.97,-0.35
1993,"LA","CUT OFF",830568,812955,1342992,-49.13,-31.87
1994,"LA","CUT OFF",734631,932133,1507695,12.26,-11.55
1995,"LA","CUT OFF",886686,1125236,1782631,18.24,20.7
